Title ID HEX	Title ID DEC	Serial Number	Title Name	Publisher	Region	Rating	Version	Media Type	Init Flags	Entry Point	Cert Timestamp	MD5 Checksum
0x4143000E	1094909966	AC-014	BMX XXX	Acclaim Entertainment	(4) PAL	(0) RP - ALL	0x00000002	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8ED910F) Retail	Mon Nov 11 21:16:23 2002	394C228DBB0873AB638D061A155A4A94
0x56550049	1448411209	VU-073	BPS Trophy Bass 2007	Vivendi Universal Games	(7) PAL + Japan + USA / Canada	(4) E - Everyone	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000001) Mount Utility Drive	(0xA8FD6434) Retail	Fri Oct 06 03:44:48 2006	E78D0A0F05C2A930F6D915D94FC56AFA
0x56550048	1448411208	VU-072	BPS Trophy Hunter 2007	Vivendi Universal Games	(7) PAL + Japan + USA / Canada	(3) T - Teen	0x00000002	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000001) Mount Utility Drive	(0xA8DAA46A) Retail	Thu Oct 12 06:10:50 2006	63A091C4F6D79357F2C854D25E226D8E
0x41530001	1095958529	AS-001	BREAK NINE	ASK	(2) Japan	(0) RP - ALL	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8DC9FAF) Retail	Fri Jun 21 12:41:05 2002	C2BB8D9EAF4488A7BEBBED31947A6781
0x4E4D0009	1313669129	NM-009	BREAKDOWN	Namco	(4) PAL	(0) RP - ALL	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000007) 64MB RAM limit + Format Utility Drive + Mount Utility Drive	(0xA8E6C0FD) Retail	Wed Apr 21 22:03:33 2004	A484BEC2B82FCB4CDB6B8E9CB08BC5ED
0x4553000D	1163067405	ES-013	Backyard Wrestling	Eidos Interactive	(3) Japan + USA / Canada	(2) M - Mature	0x00000004	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8FA8599) Retail	Fri Oct 03 05:54:39 2003	82B427CF13C9F8CB7F547C0047863E4F
0x45530016	1163067414	ES-022	Backyard Wrestling 2	Eidos Interactive	(3) Japan + USA / Canada	(2) M - Mature	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F5C7B8) Retail	Sat Oct 16 07:03:14 2004	00B38ED1B29804466478A5F4281D8B21
0x454D0016	1162674198	EM-022	Bad Boys Miami Takedown	Empire Interactive	(1) USA / Canada	(2) M - Mature	0x00000001	(0x00000202) MEDIA_BOARD? + XBOX DVD	(0x00000001) Mount Utility Drive	(0xA8DE4985) Retail	Thu Jul 15 05:35:26 2004	DD32D1007FC9E2059AE19D90CB4F3F7E
0x5655001A	1448411162	VU-026	Baldur's Gate: Dark Alliance	Vivendi Universal Games	(1) USA / Canada	(3) T - Teen	0x00000001	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8F1D820) Retail	Tue Sep 17 06:52:45 2002	0E4237EC9FC5E115DC2F0D87C647E019
0x4950000A	1229979658	IP-010	Baldur's Gate: Dark Alliance 2	Interplay Entertainment	(3) Japan + USA / Canada	(3) T - Teen	0x00000005	(0x00000002) XBOX DVD	(0x00000005) 64MB RAM limit + Mount Utility Drive	(0xA8EBF909) Retail	Tue Nov 18 07:44:34 2003	8575F1C22CCAC6EDD8ACE9C4536F66DE
